Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Novitiate		Novitiate							2017		2017																			Sign on Screen										Vatican sexual discrimination drama about a nun, IMDb lists American Sign Language (ASL); more details needed								drama; religion	Feature					American Sign Language (ASL); English; Latin		US		Maggie Betts								
Number 17		Number 17							1932		1932																			Sign on Screen										Crime mystery in which a detective investigates the murder of a man in an apartment building (hence the title) whose body then disappears; several mysterious characters and witnesses, including a deaf girl named Nora								crime/mystery; deaf child; deaf victim/witness; thriller	Feature					English		UK		Alfred Hitchcock								
Number 5		Number 5							2017		2017																			Sign on Screen										Short about a deafblind woman and her hearing brother discovering her appreciation of music								deafblind character; family drama; music; sibling relationship; vibrations	Short					Spanish		Paraguay		Emiliano Gómez								
Nutty Professor II: The Klumps				Nutty Professor II: The Klumps					2000			2000														Q599432	Q599432	Nutty Professor II: The Klumps	https://en.wikipedia.org/wiki/Nutty_Professor_II:_The_Klumps	Wikipedia				In this American comedy sequel, Granny Klump (Eddie Murphy) has a relationship with an elderly man who uses hearing aids, which she deactivates when she has a conversation she doesn't want him to hear.																																
Nyheder på tegnsprog		Nyheder på tegnsprog	Nyheder på tegnsprog						1993-2009		1993-2009																			Sign on Screen										Danish news for the Danish Deaf community								Deaf Culture; all/most dialogue in sign language; news	News					Danish Sign Language (DTS)		Denmark		N/A								
O Ornitólogo	O Ornitólogo								2016	August 8, 2016																				DMDb									Fernando is a 35-year-old ornithologist. He decides to go down a river in a kayak, hoping to find extremely rare black storks. Distracted by the beauty of the landscape, Fernando is soon thrown overboard by the current, and his motionless, bloody body reaches the riverbank.								Movies with No Deaf Actors | Leading Roles; Movies			Adventure; Drama; Mystery			English; Portuguese; Mandarin; Latin; Mirandese		France; Brazil; Portugal						https://deafmovie.org/title/o-ornitologo/					
The Object of Beauty		The Object of Beauty							1991		1991																			Sign on Screen										Romantic crime comedy with Andie MacDowell and John Malkovich includes Deaf maid character								comedy; crime/mystery; deaf servant; romance; romantic comedy	Feature					American Sign Language (ASL); English		UK; US		Michael Lindsay-Hogg								
The Old Dark House		The Old Dark House							1932		1932																			Sign on Screen										Horror mystery in which characters take shelter from a rainstorm at night in a mansion owned by a creepy man with a deaf wife								crime/mystery; deaf victim/witness; deaf villain/suspect; horror; survival narrative	Feature					English		US		James Whale								
Old Long Stay	Old Long Stay								2020	November 7, 2020																				DMDb									Even if you were born and raised in Japan, pay taxes, and become a naturalized citizen, you cannot receive a pension, which is the minimum guarantee of life. In March 2000, seven deaf Koreans residing in Japan filed a lawsuit at the Kyoto District Court against unreasonable discrimination that disabled persons of foreign nationality above a certain age were not entitled to a disability pension. Through interviews with the plaintiffs and their supporters and documentary footage of the past, the director confronts the historical and political issues of “disability” and “ethnicity.”								x Documentaries; x Documentaries by Non-Deaf Directors				02 hours 50 minutes		Japanese Sign Language; Japanese		Japan						https://deafmovie.org/title/old-long-stay/					
Olin: Documented Fairy Tale		Olin: Documented Fairy Tale							1998		1998																			Sign on Screen										Friendship between a dolphin and a deaf Bedouin fisherman								friendship; signing animal	Children's feature					English		Israel		Avi Kleinberger; Shlomo Urbach								
On and Off Stage: The Bruce Hlibok Story		On and Off Stage: The Bruce Hlibok Story							2002		2002																			Sign on Screen										Documentary about the live of famous deaf Broadway theatre artist, Bruce Hlibok								biopic; deaf artist; deaf musician/dancer; music	Documentary					American Sign Language (ASL); English		US		Anne Marie Jade Bryan								
On Beat		On Beat							2015		2015																			Sign on Screen										Hearing parents and deaf children bond over the beat of music								deaf child; deaf child hearing parents; family drama; music; vibrations	Short					American Sign Language (ASL); English		US		Reid Davenport; Cheng Zhang								
On the Waterfront	On the Waterfront								2010	February 1, 2010																				DMDb									Waterfront is a spoof of the legendary Elia Kazan flick On the Waterfront with Marlon Brando. The legendary “coulda been a contender” scene has been changed it to be a scene between two deaf brothers. One brother, Charlie, is part of a shady gang; the other, Terry wants to work as a BSL teacher at the RNID. Terry’s interview at the RNID is approaching, and he has high hopes. But Charlie has other ideas…			Jonathan Reid; John Maidens; Michael Reid	William Mager				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Short	7 minutes		British Sign Language		United Kingdom; EUR					Free Short	https://deafmovie.org/title/on-the-waterfront/					
On the Waterfront		On the Waterfront							2001		2001																			Sign on Screen										Short remaking the 'coulda been a contender' scene from the original On the Waterfront film noir, with two deaf men (John Maidens and Jonathan Reid) rather than the original hearing actor in deaf role								crime/mystery; deaf actor	Short					American Sign Language (ASL)		US		William Mager								
On the Waterfront		On the Waterfront							1954		1954																			Sign on Screen										Classic Marlon Brando film noir includes deaf character								crime/mystery; hearing actor in deaf role; thriller	Feature					English		US		Elia Kazan								
Once in a Lifetime		Once in a Lifetime		Once in a Lifetime					1994		1994	1994														Q7091926	Q7091926	Once in a Lifetime (1994 film)	https://en.wikipedia.org/wiki/Once_in_a_Lifetime_(1994_film)	Sign on Screen; Wikipedia				Made for television romantic drama about a widowed hearing novelist (played by Lindsay Wagner), who gives birth to a deaf son (played by deaf actor Darrell Thomas Utley). She enrols her son in a school for the deaf, where she falls for his hearing teacher (played by Barry Bostwick).						Danielle Steele adaptation about a woman who lost her daughter and husband in the accident that deafened her son								deaf child; deaf child hearing parent; deafened by accident/violence; family drama; grief	Feature					English		US		Michael Miller								
Once Upon A Sign	Once Upon A Sign								2010	January 1, 2010																				DMDb									Once Upon a Sign is an award winning series of classic children’s stories re-created with modern themes. Performed entirely in American Sign Language with voice over and subtitles in English (English and Spanish for streaming), everyone can enjoy timeless stories with new twists. Also, get excited for Fun Signs, a recap of key signs from the stories. Join in the fun by signing along, perfect for kids or anyone learning ASL!			Ben Bahan					Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Family; Short			American Sign Language		USA		50-100% Sign Language Usage				https://deafmovie.org/title/once-upon-a-sign/					
One Day That Changed My Life		One Day That Changed My Life							2019		2019																			Sign on Screen										Season 2 episode 6 of this documentary series about pivotal days in people's lives is about deaf woman Nelema passing her driver's test (series duration 2018-19)								accessibility	Documentary					British Sign Language (BSL); English		UK		Meyrick Cook; Jimmy Dallas; Tom Dalzell								
One Deadly Summer		One Deadly Summer	L'été meurtrier						1983		1983																			Sign on Screen										Isabelle Adjani dramatic thriller about a young woman's relationship with a mechanic; his aunt is late deafened and crassly nicknamed 'Sono Cassé' ('Broken Sound')								ageing deaf character as comic relief; crime/mystery; drama; romance	Feature					French		France		Jean Becker								
One Flew Over the Cuckoo's Nest		One Flew Over the Cuckoo's Nest							1975		1975																			Sign on Screen										Native American deliberately nonverbal character incorrectly assumed to be deaf; serves as film's narrator								Indigenous character/themes; hearing person pretending to be deaf	Feature					English		US		Milos Forman								
One Missed Call 3: Final		One Missed Call 3: Final	Chakushin ari Final						2006		2006																			Sign on Screen										A bullied schoolgirl takes revenge on her classmates by sending a deadly phone message; her deaf classmate (Jang Geun-suk) won't hear it								character survives dangerous sound thanks to deafness; deaf actor; horror	Feature					Japanese		Japan		Manabu Asou								
Only I Can Hear		Only I Can Hear			Only I Can Hear				2021		2021		2021				tt14490030			tt14490030	https://www.imdb.com/title/tt14490030/?ref_=ls_t_156									Sign on Screen; IMDb HoH					In the American Midwest, three hearing teenagers come of age in the vibrant Deaf community. With feet in two worlds, yet fully at home in neither, they seek identity through their shared experience as CODA: Children of Deaf Adults.					Three hearing teenagers come of age in a Midwest Deaf community								Coda; Deaf Culture; deaf-hearing relationship	Short					American Sign Language (ASL); English; Japanese		Canada; Japan		Itaru Matsui and Heath Cozens								
Only You Can Hear Me		Only You Can Hear Me	Kimi ni shika kikoenai						2007		2007																			Sign on Screen										Girl finds phone only she can answer, which allows her to hear the voice of a deaf boy								deaf child; deaf-hearing relationship; sci-fi/fantasy	Feature					Japanese		Japan		Tatsuya Hagishima								
