English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Centaur		Aktan Arym Kubat	2017	Feature	Arabic; Kyrgyz; Russian Sign Language (RSL)	France; Germany; Japan; Kyrgyzstan; Netherlands	 	Young man in Kyrgyz village is criticised for stealing a horse; includes passages in a sign language (more details needed)	drama	
Chasing Cotton Clouds		Samuel Dore	2011	Short	British Sign Language (BSL); English	US		Isolated young deaf man (deaf actor William Grint) retreats to a fantasy world in his mind	deaf actor	
Cheerful Weather for the Wedding		Donald Rice	2012	Feature	English; Latin	UK		Upper-class wedding comedy drama includes deaf old man who mishears everything, to comic effect	ageing deaf character as comic relief; comedy; romantic comedy	
Chicago Med		Tess Malone	2023	Series	American Sign Language (ASL); English	US		Season 8 episode 19 of this hospital medical drama features Daniel Durant as a deaf patient with schizophrenia. In Season 4, Episode 1 'Be My Better Half' features ASL. 	deaf actor; disability; drama; isolation; medical drama	
China: Between Clouds and Dreams		Phil Agland	2016	Documentary	English; Mandarin; Russian	China; UK		First episode ("A Letter from Russia") of this documentary mini-series about regional Chinese stories includes deaf girl 'struggling to overcome her deafness'	adapting to deafness; deaf child	
Chopped		Michael Pearlman	2007-	Series	American Sign Language (ASL); English	US		Season 15 Episode 16 ("Better Saffron Than Sorry", 2013) of this cooking contest introduced the show's first deaf chef, Kurt Ramborger, who appeared on the show with an ASL interpreter	accessibility; deaf contestant; Deaf Culture; reality tv	
CinemAbility: The Art of Inclusion		Jenni Gold	2012	Documentary	American Sign Language (ASL)	UK		Documentary about inclusion of various disabilities in media, including deafness	accessibility; all/most dialogue in sign language; disability	
Claustrophobia		Harlan Schneider	2011	Feature	American Sign Language (ASL); English	US		Horror film about a deaf man trapped in his house by a murderous neighbour	deaf victim/witness; hearing stalker/killer; horror; isolation	
C.O.D.A.		Melissa Mostyn	2011	Short	American Sign Language (ASL); English	US		Deaf woman (Emily Howlett) whose family rejected her deafness raises her own daughter in the Deaf community	deaf actor; deaf child; deaf child hearing parent; Deaf Culture; deaf director; family drama; isolation	
CODA		Sian Heder	2021	Feature	American Sign Language (ASL); English	Canada; France; US	Apple	Remake of La Famille Bélier (Coda daughter in otherwise all-deaf household dreams of becoming a singer) set in a New England American fishing town context. Includes leading deaf actors Marlee Matlin, Troy Kotsur and Daniel Durant	born deaf; Coda; deaf actor; deaf-hearing relationship; family drama	
CODA		Erika Davis-Marsh	2019	Short	American Sign Language (ASL)	US	YouTube	Coda dancer falls for deaf man (Ryan Lane); struggling with her bi-cultural identity, she tells him she's deaf as she feels culturally Deaf	Coda; deaf actor; deaf-hearing relationship; deaf musician/dancer; all/most dialogue in sign language;  family drama; hearing person pretending to be deaf; isolation	
Code 8		Jeff Chan	2019	Feature	English	Canada		Superhero group action movie includes "deaf superhuman" character	action; deaf superhero; hearing actor in deaf role; sci-fi/fantasy	
Code of Silence		Catherine Moulton	2025	Series	British Sign Language (BSL); English	UK; US		Six-part miniseries follows a young Deaf woman (Rose Ayling-Ellis) working as a caterer who is recruited by the police to spy on criminal conversations through lipreading	crime/mystery; deaf actor; Deaf Gain; deaf-hearing relationship; deaf victim/witness; drama; lipreading, inc. magical	
The Conference		Justin Edgar	2011	Short	British Sign Language (BSL); English	UK		Comedy of errors about organising a disability conference, including a rebellious deaf theatre troupe	accessibility; comedy; disability	
Connecting the Dots: The Story of Feeling Through		Doug Roland	2019	Documentary	American Sign Language (ASL); English	US		Making-of documentary about the 7-year process of creating Feeling Through, the deafblind short film based on a true story	deaf actor; deafblind documentary; friendship	
Conned		Arthur Luhn	2010	Feature	American Sign Language (ASL); English	US		Crime thriller about a deaf gang in the Boston Underworld	crime/mystery; deaf villain/suspect; thriller	
Consecration		Christopher Smith	2023	Feature	English	UK/ US		Horror thriller about a young woman investigating her brother's death in a convent; includes Amanda McDonough as nun	deaf actor; deaf victim/witness; horror; religion; thriller	
Coronation Street			2020	Series	English	UK		Soap opera in which a character gives birth to quadruplets, one of them deaf (series duration 1960-)	born deaf; deaf child; deaf child hearing parent; drama; family drama	
Creed		Ryan Coogler	2015	Feature	American Sign Language (ASL); English; Spanish	US	Stan	Sports drama about a boxer (Michael B. Jordan) in the Rocky universe, whose girlfriend (Tessa Thompson) is a singer who's progressively losing her hearing and learning American Sign Language (ASL)	adapting to deafness; deaf-hearing relationship; deaf musician/dancer; learning sign; music; sports	
Creed II		Steven Caple Jr	2018	Feature	American Sign Language (ASL); English; Russian	US	Stan	Sequel to the boxing drama in which the hearing-Hard of Hearing couple have a daughter who inherits her mother's deafness from birth	adapting to deafness; born deaf; deaf child; deaf child hearing parent; deaf-hearing relationship; deaf musician/dancer; learning sign; music; progressive hearing loss; sports	
Creed III		Michael B. Jordan	2023	Feature	American Sign Language (ASL); English; Spanish	US		Second sequel to the boxing drama in which the hearing-Hard of Hearing couple have a daughter who inherits her mother's deafness from birth	adapting to deafness; born deaf; deaf child; deaf child hearing parent; deaf-hearing relationship; deaf musician/dancer; learning sign; music; progressive hearing loss; sports	
Criminal Minds		Glenn Kershaw	2005-2020	Series	American Sign Language (ASL); English	US		In season 8 episode 1 ("The Silencer", 2012) of this crime mystery series, Troy Kotsur plays a deaf serial killer who sews his victims' mouths shut as a trauma response to bullying for his deaf accent in the past	crime/mystery; deaf actor; deaf villain/suspect; disability; horror; revenge/vigilante	
Crip Camp		Nicole Newnham; James LeBrecht	2020	Documentary 	American Sign Language (ASL); English	United States	Netflix	A documentary which starts in summer camp for disabled youth in the 70s, then follows those campers who fight for accessibility legislation in the United States. 	d/Deaf child; accessibility; friendship; biopic 	
Cry Macho		Clint Eastwood	2021	Feature	American Sign Language (ASL); English; Spanish	US		Western in which a washed-up rodeo rider adopts a young deaf boy from his alcoholic mother	adoption/foster care; deaf child; deaf child hearing parent; western	
Cucuy: The Boogeyman		Peter Sullivan	2018	Feature	American Sign Language (ASL); English	US		Bogeyman horror movie includes deaf girl character	deaf child; deaf victim/witness; hearing stalker/killer; horror	
Culture Signes		Carole Sionnet	2013	Documentary	American Sign Language (ASL); French; French Sign Language (LSF); Japanese Sign Language (JSL)	France		Multilingual French documentary about Japanese Deaf Culture and Sign Language (JSL)	Deaf Culture; learning sign	
Dan: 02/11/08		Antony Kwok	2009	Short	English	UK		Lonely young deaf girl turns to her imagination	deaf child; drama; isolation	
Dance Together		Kevin Lien; Steven Song	2019	Feature	English	Canada		Children's drama in which deaf girl and injured dancer band together against bullying and discrimination	deaf-hearing relationship; deaf musician/dancer; drama; friendship; school/university setting	
Dancer		Nomin Gantulga	2023	Short	Mongolian; Mongolian Sign Language (MSL)	Australia; Mongolia		Gerelee, a Deaf teenage girl, decides to follow her dreams and audition for a dance company, despite her father’s protest. A collaboration between Bus Stop Films and The Arts Council of Mongolia	deaf actor; deaf child; deaf child hearing parent; deaf musician/dancer; family drama	
Dancing with the Stars			2016	Series	American Sign Language (ASL); English	US		In season 22, Nyle DiMarco becomes the first deaf winner on the dance competition reality series (series duration 2004-)	deaf contestant; deaf musician/dancer; reality tv	
Dark		Baran bo Odar; Jantje Friese	2017-20	Series	German; German Sign Language (DGS)	Germany; US	Netflix	Mysteries series described as the "German Stranger Things" includes three episodes with a nonverbal hearing signing character	nonverbal; thriller	
Dark Thinker		Jeremy Rosete	2014	Short	American Sign Language (ASL); English	US		Deaf-led short about an embittered incel man pursuing a woman (Martina Bell) out of his league	deaf actor; deaf director; deaf writer/producer; drama; thriller	
Das Traumschiff		Hans-Jurgen Togel	2011	Series	German	Germany		Season 1 episode 66 ("Kambodscha") of this 'German cruise liner drama series features an excluded deaf boy who doesn't tell anyone when his hearing is restored (series duration 1981-)	deaf child; deafness 'cured'; drama; temporarily deafened	
Dawn of the Deaf		Davo Hardy	2015	Short	Australian Sign Language (Auslan); English	Australia		Comedy in which deaf zombies challenge Australian government as rival political party	apocalypse; comedy	
Dawn of the Deaf		Rob Savage	2016	Short	British Sign Language (BSL)	UK	YouTube	Small deaf group survives apocalypse which kills through via sound and thus only affects the hearing	apocalypse; character survives dangerous sound thanks to deafness; all/most dialogue in sign language; survival narrative	
Dawn of the Planet of the Apes		Matt Reeves	2014	Feature	American Sign Language (ASL); English	Canada; UK; US	Disney+	Sci-fi thriller drama in which hyperintelligent apes communicate via American Sign Language (ASL)	sci-fi/fantasy; signing animal; thriller	
Daybreak		Aron Eli Coleite; Brad Peyton	2019	Series	American Sign Language (ASL); English	US		Post-apocalyptic high school comedy horror series includes deaf cheerleader played by Sandra Mae Frank; the hearing protagonist reveals he knows sign to communicate with her when all characters lose their hearing due to a shockwave	adapting to deafness; apocalypse; deaf actor; horror; school/university setting	
DEAF		Lina Jakobi	2017	Short	German Sign Language (DGS)	Germany	YouTube	Hearing girl asks out deaf boy (who she doesn't realise is deaf at first); almost entirely silent except for ambient noise	deaf actor; deaf-hearing relationship; all/most dialogue in sign language	
Deaf	Pekak	Mohd Khairul Azri Md Noor/Khairul Azri/Kroll Azry	2015	Feature	Malay	Malaysia		Drama in which deaf man becomes drug dealer in order to pay for his cochlear implants	cochlear implant; deaf villain/suspect; hearing actor in deaf role	
Deaf		Jeff Paquet; Luke Thompson	2019	Documentary	English	US		Documentary short about a deaf janitor who dreams of becoming a filmmaker	deaf actor	
Deaf	Sorda	Eva Libertad	2025	Feature	English; Spanish; Spanish Sign Language (LSE)	Spain		A deaf woman (Miriam Garlo) who is married to a hearing man goes through her first pregnancy and discovers how the system is not equipped to support deaf mothers 	accessibility; born deaf; Coda; deaf actor; Deaf Culture; deaf-hearing relationship; disability; drama; family drama; isolation; learning sign; medical drama; oralism (repression of sign)	
Deaf and Mute	Pekak & Bisin	Jared Lee	2020	Short	Malay	Malaysia	YouTube	Two young children, a deaf girl and her nonverbal sister, are homeless orphans struggling to live on the streets	deaf child; family drama; nonverbal; sibling relationship	
Deaf Beat		Jonathan Reid	2011	Short	British Sign Language (BSL); English	UK		Comedy short about police trying to catch deaf criminal unit, who have many Deaf Gain criminal advantages to dodge them	comedy; crime/mystery; deaf actor; deaf director	
